,name,total_black(%),hh_with_internet,ccvi_score,hardship_score,hh_median_income
0,Albany Park,4.941171746375939,84.18593648352947,38.2,53.0,66818.0
1,Archer Heights,0.9543931225411628,80.30109721867824,53.3,67.0,48629.0
2,Armour Square,8.383808538927463,72.42401779095627,30.9,82.0,33333.0
3,Ashburn,45.87139034966326,85.97988418165194,45.1,37.0,69261.0
4,Auburn Gresham,95.38652551787231,69.2209078725016,48.2,74.0,35568.0
5,Austin,77.76414480352514,69.98162890385792,52.9,73.0,33700.5
6,Avalon Park,96.58190054566046,74.29498377838782,44.2,41.0,46206.5
7,Avondale,2.08562883677003,84.78627465356698,28.5,42.0,64584.0
8,Belmont Cragin,2.374015597765932,77.97205908524649,52.4,70.0,53021.0
9,Beverly,34.2276792481431,92.20692420799358,27.4,12.0,111667.0
10,Bridgeport,3.00810654313839,87.0555641065107,21.6,43.0,58381.0
11,Brighton Park,1.198025183440529,79.08751291630236,48.5,84.0,44717.0
12,Burnside,96.26121635094717,57.77027027027027,58.4,79.0,28864.0
13,Calumet Heights,94.07725321888412,81.7822899041173,46.1,38.0,47059.0
14,Chatham,95.66635450641004,70.2811533759977,43.0,60.0,33921.0
15,Chicago Lawn,43.18624396323415,76.30742913000978,57.8,80.0,34230.0
16,Clearing,2.2701793721973096,83.44460789860813,42.7,29.0,56250.0
17,Douglas,66.55739240387769,81.8163202621071,36.0,47.0,26175.5
18,Dunning,1.6618713315686502,80.72499353838201,36.0,28.0,68958.0
19,East Garfield Park,88.34741288278775,68.36914924933765,47.9,83.0,26500.5
20,East Side,3.654681111157948,82.85550458715596,43.9,64.0,50527.0
21,Edgewater,12.308973269267463,88.19812126387703,17.3,19.0,47500.0
22,Edison Park,0.3728693181818182,85.97168597168597,24.2,8.0,108563.0
23,Englewood,94.63810479472971,65.4013135923411,55.3,94.0,23125.0
24,Forest Glen,1.19170449855551,91.20642662458758,18.9,11.0,125533.5
25,Fuller Park,92.7038626609442,65.3368794326241,50.1,97.0,23746.5
26,Gage Park,3.99434334809755,80.4029304029304,58.8,93.0,43411.5
27,Garfield Ridge,5.25169994893434,83.11519388667588,49.0,32.0,61334.5
28,Grand Boulevard,90.79185620279998,76.8174173051766,41.3,57.0,40000.0
29,Greater Grand Crossing,95.65491392749344,68.35338717652876,46.0,66.0,29197.5
30,Hegewisch,4.235889536802729,81.75637393767705,35.8,44.0,53768.5
31,Hermosa,3.875473787317406,80.59617547806525,50.3,71.0,49172.0
32,Humboldt Park,31.96481468102016,75.57940404155725,52.4,85.0,40675.0
33,Hyde Park,26.44640128083837,90.87898856110776,16.7,14.0,50317.0
34,Irving Park,3.269194844012703,85.47249647390692,30.3,34.0,67903.0
35,Jefferson Park,1.0653383267279932,88.2670262980445,25.6,25.0,80223.5
36,Kenwood,67.43901080539155,83.69031449169366,24.9,26.0,51849.0
37,Lake View,3.989542741577468,94.26888556469709,5.2,5.0,100816.0
38,Lincoln Park,4.914705247246816,93.7459484488347,7.3,2.0,127177.5
39,Lincoln Square,3.491437664774481,92.78356134517905,15.0,17.0,86125.0
40,Logan Square,4.002620194604037,87.83140495867768,27.7,23.0,79231.0
41,Loop,7.760962359332558,97.85745307146648,8.3,3.0,105094.0
42,Lower West Side,3.4334246905400114,85.43922984356198,48.9,76.0,51607.0
43,McKinley Park,1.456150754431047,87.42028985507247,36.8,61.0,48281.0
44,Montclare,2.712553445012967,76.51315789473684,52.8,50.0,52427.5
45,Morgan Park,53.73238917164564,80.58363532328819,43.3,30.0,55750.0
46,Mount Greenwood,3.533090151120375,87.0442319187089,30.5,16.0,99436.0
47,Near North Side,8.196703744186545,94.92732075075654,12.1,1.0,98448.5
48,Near South Side,23.84245218164908,94.82806242231736,15.0,7.0,98320.0
49,Near West Side,26.72946018679753,89.29894457258685,20.0,15.0,60686.5
50,New City,23.02824744355573,75.2715904650254,59.7,91.0,32679.0
51,North Center,2.110120136173086,91.76186759384092,4.0,6.0,119904.5
52,North Lawndale,85.8104948087176,70.0135440180587,58.5,87.0,29028.0
53,North Park,2.7651475097811145,86.06494892514102,40.6,33.0,57096.0
54,Norwood Park,0.7994470683101026,82.47235710524777,31.2,21.0,83385.0
55,O'Hare,1.9905139569240335,80.42483660130719,19.0,24.0,54177.0
56,Oakland,91.0474609104746,80.57531704299413,31.3,78.0,31674.0
57,Portage Park,1.5184583236591596,85.49441750811796,34.3,35.0,66520.0
58,Pullman,81.05263157894737,82.65014299332698,46.4,51.0,42543.0
59,Riverdale,94.9857317570322,75.6152972358955,35.6,98.0,15408.0
60,Rogers Park,27.37629562866156,83.6622100515464,30.9,39.0,41368.0
61,Roseland,95.19432102548387,73.94843962008142,54.7,52.0,41474.5
62,South Chicago,76.47982362373062,78.5674727709064,43.8,75.0,33360.0
63,South Deering,65.11793214862682,77.55371277798719,52.5,65.0,36221.5
64,South Lawndale,12.331443934753384,69.97455470737913,58.2,96.0,33490.5
65,South Shore,93.6198149806028,74.45978660450103,45.6,55.0,30306.0
66,Uptown,17.76225436172197,85.79154375614553,24.4,20.0,60575.0
67,Washington Heights,96.0960287188692,77.07548185635835,53.2,48.0,52541.0
68,Washington Park,92.4970371045674,73.9063190455148,41.2,88.0,27473.0
69,West Elsdon,1.673115131234968,81.45644195480008,48.6,69.0,61868.0
70,West Englewood,87.66795718515145,61.91078772540335,63.7,89.0,27277.0
71,West Garfield Park,93.06122448979592,67.38277601345041,47.4,92.0,24001.5
72,West Lawn,2.6500658596249136,81.1044003451251,48.5,56.0,52992.5
73,West Pullman,91.86875416389074,79.46782411775807,49.2,62.0,43143.0
74,West Ridge,11.579537634134528,85.70428560317337,36.0,46.0,53153.0
75,West Town,6.837637451198109,91.5730188529575,18.2,10.0,102083.0
76,Woodlawn,82.73224923522781,76.84941794968081,37.8,58.0,28456.0
